visitor,visitor_score,home,home_score
Cleveland Cavaliers,95,Chicago Bulls,97
Detroit Pistons,106,Atlanta Hawks,94
New Orleans Pelicans,95,Golden State Warriors,111
Washington Wizards,88,Orlando Magic,87
Philadelphia 76ers,95,Boston Celtics,112
Chicago Bulls,115,Brooklyn Nets,100
Utah Jazz,87,Detroit Pistons,92
Indiana Pacers,99,Toronto Raptors,106
Charlotte Hornets,94,Miami Heat,104
New York Knicks,122,Milwaukee Bucks,97
San Antonio Spurs,106,Oklahoma City Thunder,112
Cleveland Cavaliers,106,Memphis Grizzlies,76
Denver Nuggets,105,Houston Rockets,85
Dallas Mavericks,111,Phoenix Suns,95
New Orleans Pelicans,94,Portland Trail Blazers,112
Los Angeles Clippers,111,Sacramento Kings,104
Minnesota Timberwolves,112,Los Angeles Lakers,111
Memphis Grizzlies,112,Indiana Pacers,103
Atlanta Hawks,112,New York Knicks,101
Dallas Mavericks,88,Los Angeles Clippers,104
Miami Heat,92,Cleveland Cavaliers,102
Utah Jazz,99,Philadelphia 76ers,71
Oklahoma City Thunder,139,Orlando Magic,136
Toronto Raptors,113,Boston Celtics,103
Chicago Bulls,94,Detroit Pistons,98
Charlotte Hornets,94,Atlanta Hawks,97
Washington Wizards,118,Milwaukee Bucks,113
Brooklyn Nets,75,San Antonio Spurs,102
Minnesota Timberwolves,95,Denver Nuggets,78
Golden State Warriors,112,Houston Rockets,92
Los Angeles Lakers,114,Sacramento Kings,132
Portland Trail Blazers,92,Phoenix Suns,110
Utah Jazz,97,Indiana Pacers,76
New York Knicks,117,Washington Wizards,110
Golden State Warriors,134,New Orleans Pelicans,120
Brooklyn Nets,91,Memphis Grizzlies,101
Phoenix Suns,101,Portland Trail Blazers,90
Sacramento Kings,109,Los Angeles Clippers,114
Atlanta Hawks,94,Charlotte Hornets,92
San Antonio Spurs,95,Boston Celtics,87
Houston Rockets,89,Miami Heat,109
Milwaukee Bucks,87,Toronto Raptors,106
Orlando Magic,87,Chicago Bulls,92
Denver Nuggets,93,Oklahoma City Thunder,117
Dallas Mavericks,103,Los Angeles Lakers,93
Cleveland Cavaliers,107,Philadelphia 76ers,100
Milwaukee Bucks,103,Brooklyn Nets,96
San Antonio Spurs,94,New York Knicks,84
Oklahoma City Thunder,105,Houston Rockets,110
Portland Trail Blazers,106,Minnesota Timberwolves,101
Memphis Grizzlies,69,Golden State Warriors,119
Phoenix Suns,96,Los Angeles Clippers,102
Chicago Bulls,105,Charlotte Hornets,130
Indiana Pacers,94,Detroit Pistons,82
Atlanta Hawks,98,Miami Heat,92
Orlando Magic,103,New Orleans Pelicans,94
Toronto Raptors,102,Dallas Mavericks,91
Memphis Grizzlies,103,Sacramento Kings,89
Denver Nuggets,120,Los Angeles Lakers,109
Boston Celtics,98,Indiana Pacers,100
San Antonio Spurs,99,Washington Wizards,102
Brooklyn Nets,87,Atlanta Hawks,101
New York Knicks,86,Cleveland Cavaliers,96
Orlando Magic,114,Houston Rockets,119
Philadelphia 76ers,87,Milwaukee Bucks,91
Toronto Raptors,103,Oklahoma City Thunder,98
Sacramento Kings,97,Phoenix Suns,118
Portland Trail Blazers,108,Utah Jazz,92
Los Angeles Clippers,108,Golden State Warriors,112
Oklahoma City Thunder,98,Chicago Bulls,104
Miami Heat,96,Minnesota Timberwolves,84
Charlotte Hornets,108,Dallas Mavericks,94
Utah Jazz,96,Denver Nuggets,84
Memphis Grizzlies,96,Portland Trail Blazers,115
Toronto Raptors,87,Orlando Magic,92
Washington Wizards,98,Boston Celtics,118
Los Angeles Lakers,104,Brooklyn Nets,98
Philadelphia 76ers,102,Cleveland Cavaliers,108
Milwaukee Bucks,99,New York Knicks,92
Miami Heat,87,Indiana Pacers,90
Atlanta Hawks,121,New Orleans Pelicans,115
Detroit Pistons,100,Phoenix Suns,92
Denver Nuggets,104,Golden State Warriors,119
Houston Rockets,116,Sacramento Kings,110
Minnesota Timberwolves,102,Chicago Bulls,93
Orlando Magic,105,Philadelphia 76ers,97
Washington Wizards,99,Atlanta Hawks,114
New Orleans Pelicans,98,Dallas Mavericks,107
Brooklyn Nets,86,Milwaukee Bucks,94
Charlotte Hornets,94,San Antonio Spurs,114
Memphis Grizzlies,79,Utah Jazz,89
Golden State Warriors,103,Sacramento Kings,94
Houston Rockets,109,Los Angeles Clippers,105
Indiana Pacers,97,Cleveland Cavaliers,101
Los Angeles Lakers,95,New York Knicks,99
Toronto Raptors,76,Miami Heat,96
Phoenix Suns,103,Oklahoma City Thunder,124
Detroit Pistons,120,Portland Trail Blazers,103
Orlando Magic,84,Indiana Pacers,97
Chicago Bulls,111,Philadelphia 76ers,88
Minnesota Timberwolves,117,Atlanta Hawks,107
Portland Trail Blazers,104,Denver Nuggets,108
San Antonio Spurs,106,Sacramento Kings,88
Detroit Pistons,95,Golden State Warriors,109
Memphis Grizzlies,92,Los Angeles Clippers,94
Utah Jazz,114,Cleveland Cavaliers,118
Oklahoma City Thunder,125,Washington Wizards,101
Los Angeles Lakers,88,Miami Heat,101
New York Knicks,111,Toronto Raptors,109
Boston Celtics,99,Milwaukee Bucks,83
Charlotte Hornets,104,Minnesota Timberwolves,95
Dallas Mavericks,105,New Orleans Pelicans,120
New York Knicks,93,Charlotte Hornets,95
Los Angeles Lakers,99,Orlando Magic,101
Toronto Raptors,119,Philadelphia 76ers,103
Indiana Pacers,102,Boston Celtics,91
New Orleans Pelicans,98,Atlanta Hawks,106
Los Angeles Clippers,108,Dallas Mavericks,118
Brooklyn Nets,106,Houston Rockets,98
Golden State Warriors,100,Memphis Grizzlies,84
Milwaukee Bucks,102,Denver Nuggets,103
Detroit Pistons,92,Sacramento Kings,101
San Antonio Spurs,113,Portland Trail Blazers,101
Utah Jazz,91,Miami Heat,92
Golden State Warriors,129,Minnesota Timberwolves,116
Los Angeles Clippers,104,Phoenix Suns,118
Minnesota Timberwolves,103,Indiana Pacers,107
Utah Jazz,93,Orlando Magic,102
Atlanta Hawks,93,Boston Celtics,106
Cleveland Cavaliers,90,New York Knicks,84
New Orleans Pelicans,81,Toronto Raptors,100
Charlotte Hornets,97,Chicago Bulls,102
Portland Trail Blazers,100,Memphis Grizzlies,101
Philadelphia 76ers,85,Oklahoma City Thunder,102
Los Angeles Lakers,82,Dallas Mavericks,90
Houston Rockets,98,Denver Nuggets,107
Brooklyn Nets,109,Sacramento Kings,111
Detroit Pistons,96,Los Angeles Clippers,101
Orlando Magic,99,Washington Wizards,108
Dallas Mavericks,110,Houston Rockets,98
Cleveland Cavaliers,105,Milwaukee Bucks,108
Philadelphia 76ers,83,San Antonio Spurs,92
Denver Nuggets,81,Phoenix Suns,105
Brooklyn Nets,99,Golden State Warriors,107
New Orleans Pelicans,87,New York Knicks,95
Memphis Grizzlies,114,Minnesota Timberwolves,106
Portland Trail Blazers,94,Charlotte Hornets,106
Utah Jazz,97,Atlanta Hawks,96
Boston Celtics,100,Oklahoma City Thunder,85
Toronto Raptors,101,Sacramento Kings,107
Detroit Pistons,85,Los Angeles Lakers,97
Dallas Mavericks,92,Philadelphia 76ers,86
Indiana Pacers,95,Chicago Bulls,96
Boston Celtics,111,Houston Rockets,95
Oklahoma City Thunder,114,Memphis Grizzlies,122
Portland Trail Blazers,80,San Antonio Spurs,93
Los Angeles Lakers,101,Phoenix Suns,120
Milwaukee Bucks,86,Washington Wizards,115
Atlanta Hawks,88,Brooklyn Nets,90
Cleveland Cavaliers,99,Detroit Pistons,104
Minnesota Timberwolves,103,Miami Heat,91
Charlotte Hornets,94,New York Knicks,102
